case_name,swarm_size,w,c1,c2,max_iterations,seed,best_weighted,makespan,total_cost,runtime
single_small,80,0.3,2.2,2.2,150,1184,262.6236427773962,262.6236427773962,0.0,38.45080494880676
single_small,80,0.3,2.2,2.2,150,1185,264.2576949462195,264.2576949462195,0.0,37.57275986671448
single_small,80,0.3,2.2,2.2,250,1186,260.59716314432455,260.59716314432455,0.0,62.69032001495361
single_small,80,0.3,2.2,2.2,250,1187,262.93258618922334,262.93258618922334,0.0,62.495108127593994
single_small,80,0.3,2.2,2.2,250,1188,267.18701975422925,267.18701975422925,0.0,63.537148237228394
single_small,80,0.5,1.2,1.2,80,1189,262.4239697242236,262.4239697242236,0.0,19.61236572265625
single_small,80,0.5,1.2,1.2,80,1190,260.1147467428725,260.1147467428725,0.0,19.150192975997925
single_small,80,0.5,1.2,1.2,80,1191,260.7741581423058,260.7741581423058,0.0,26.5189688205719
single_small,80,0.5,1.2,1.2,150,1192,259.5755833634554,259.5755833634554,0.0,36.60050392150879
single_small,80,0.5,1.2,1.2,150,1193,259.84189508085484,259.84189508085484,0.0,35.84621620178223
single_small,80,0.5,1.2,1.2,150,1194,259.36296432750333,259.36296432750333,0.0,35.446937084198
single_small,80,0.5,1.2,1.2,250,1195,259.0621614248237,259.0621614248237,0.0,60.46614217758179
single_small,80,0.5,1.2,1.2,250,1196,258.7811429691391,258.7811429691391,0.0,60.741416215896606
single_small,80,0.5,1.2,1.2,250,1197,259.7219681726724,259.7219681726724,0.0,60.91189193725586
single_small,80,0.5,1.7,1.7,80,1198,263.51743881376393,263.51743881376393,0.0,19.679164171218872
single_small,80,0.5,1.7,1.7,80,1199,265.66344365218845,265.66344365218845,0.0,19.65377688407898
single_small,80,0.5,1.7,1.7,80,1200,263.30754295905774,263.30754295905774,0.0,19.842753887176514
single_small,80,0.5,1.7,1.7,150,1201,267.0352975661014,267.0352975661014,0.0,36.43884205818176
single_small,80,0.5,1.7,1.7,150,1202,262.6594619277154,262.6594619277154,0.0,36.33975076675415
single_small,80,0.5,1.7,1.7,150,1203,264.1970705956167,264.1970705956167,0.0,38.36943697929382
single_small,80,0.5,1.7,1.7,250,1204,264.6644888082275,264.6644888082275,0.0,62.08467507362366
single_small,80,0.5,1.7,1.7,250,1205,263.69851391241247,263.69851391241247,0.0,60.607239961624146
single_small,80,0.5,1.7,1.7,250,1206,262.98170436170966,262.98170436170966,0.0,61.16917896270752
single_small,80,0.5,2.2,2.2,80,1207,266.1912813513627,266.1912813513627,0.0,19.982544898986816
single_small,80,0.5,2.2,2.2,80,1208,266.8473014189492,266.8473014189492,0.0,19.434525966644287
single_small,80,0.5,2.2,2.2,80,1209,264.97378000764957,264.97378000764957,0.0,20.979433059692383
single_small,80,0.5,2.2,2.2,150,1210,266.7634558244973,266.7634558244973,0.0,37.3689022064209
single_small,80,0.5,2.2,2.2,150,1211,266.8990821966432,266.8990821966432,0.0,42.56439781188965
single_small,80,0.5,2.2,2.2,150,1212,268.2803331689886,268.2803331689886,0.0,36.77090406417847
single_small,80,0.5,2.2,2.2,250,1213,263.78824984539267,263.78824984539267,0.0,59.69441509246826
single_small,80,0.5,2.2,2.2,250,1214,265.1879287205819,265.1879287205819,0.0,59.80808186531067
single_small,80,0.5,2.2,2.2,250,1215,265.7386851707842,265.7386851707842,0.0,60.642828941345215
single_small,80,0.8,1.2,1.2,80,1216,264.77154345808844,264.77154345808844,0.0,20.301160097122192
single_small,80,0.8,1.2,1.2,80,1217,263.7962417471746,263.7962417471746,0.0,18.395936012268066
